G;GS;MPG ;FG%;3p%;FT%;OFF ;DEF ;RPG ;APG ;SPG ;BPG ;TO ;PF ;PPG ;Class
297;290;335;528;190;722;23;58;81;24;9;15;19;33;131;2
796;790;360;520;232;752;28;64;92;32;6;17;23;23;187;2
26;7;97;424;0;500;5;17;22;2;2;8;3;12;22;2
671;493;274;466;227;759;26;51;77;12;8;7;16;26;120;2
296;83;205;555;200;674;18;47;65;5;4;11;8;20;81;2
239;65;125;512;0;569;14;25;40;6;3;3;8;22;37;2
121;0;61;477;0;663;8;14;22;3;0;5;5;12;21;2
165;30;211;425;0;787;19;29;48;6;6;2;10;24;99;2
14;0;59;290;154;0;2;6;9;1;1;2;4;4;14;2
37;4;146;423;339;615;13;26;39;3;6;5;5;13;44;2
338;228;229;468;301;650;17;41;58;17;4;10;15;26;85;2
478;242;200;509;0;608;19;37;56;13;8;4;8;26;42;2
733;531;237;534;0;591;27;36;62;6;4;14;11;26;72;2
297;256;243;481;273;725;23;40;64;16;4;16;17;32;111;2
158;19;146;493;0;680;17;25;42;4;3;6;8;20;53;2
314;55;130;557;0;646;9;13;23;3;2;5;8;22;42;2
317;313;337;537;250;761;26;68;95;24;8;11;16;28;128;2
621;620;362;577;30;588;36;93;130;15;10;22;31;32;184;2
221;110;241;540;333;695;25;44;69;3;4;24;10;29;85;2
550;419;303;501;40;711;27;62;89;14;7;14;15;28;162;2
353;126;190;584;250;707;20;30;50;7;5;11;9;30;61;2
269;157;214;644;0;440;22;41;64;3;4;15;11;26;60;2
21;0;51;515;0;800;7;6;13;2;0;3;1;7;20;2
540;458;297;483;0;741;22;61;83;14;5;14;23;29;119;2
66;0;132;496;0;667;16;26;42;1;3;4;8;13;46;2
182;33;108;521;0;622;12;19;31;3;3;6;6;14;38;2
498;340;317;539;48;777;28;68;96;22;9;4;18;28;143;2
251;244;341;504;0;796;28;47;75;16;6;16;21;30;174;2
242;94;144;517;0;714;14;19;33;2;2;8;7;20;58;2
269;187;317;457;372;823;39;81;120;19;6;5;19;24;173;2
680;314;215;480;0;639;21;44;65;6;3;9;15;26;72;2
149;12;122;561;0;691;11;20;31;2;4;4;6;21;44;2
275;153;212;533;0;581;22;38;60;4;4;18;11;25;86;2
467;208;185;460;0;574;13;29;42;9;4;13;12;23;60;2
868;598;283;480;330;804;20;52;71;28;7;7;16;27;112;2
834;341;174;493;0;639;20;32;52;4;5;7;10;24;66;2
146;114;295;533;0;685;33;51;85;18;12;6;17;26;121;2
564;181;182;551;154;743;14;25;39;7;3;5;10;27;58;2
89;49;136;505;0;697;11;23;34;4;3;8;10;19;45;2
91;25;176;418;235;786;12;28;40;6;3;6;10;18;71;2
715;481;275;446;390;784;19;60;79;15;6;4;12;26;109;2
566;457;295;561;80;678;21;48;70;18;12;9;20;33;124;2
330;252;270;514;0;721;32;54;86;18;7;13;14;28;89;2
511;507;326;517;0;585;33;67;101;8;7;18;17;30;127;2
16;2;116;567;0;440;12;13;24;3;5;6;4;19;28;2
637;214;203;464;0;732;21;33;54;9;6;4;13;27;69;2
116;7;203;481;0;707;17;25;42;8;4;6;7;16;71;2
112;46;192;547;0;751;24;24;48;5;4;6;16;25;90;2
59;5;87;574;0;815;6;16;22;1;2;3;2;16;23;2
536;417;229;553;0;606;19;43;62;10;3;14;17;28;62;2
442;131;156;463;111;669;11;28;39;5;4;5;8;25;47;2
37;6;84;464;0;643;8;12;20;2;2;2;5;20;29;2
580;396;201;552;0;558;19;44;63;4;3;14;10;27;40;2
91;10;168;456;0;661;15;22;37;4;4;4;12;22;64;2
112;12;135;442;0;523;11;19;30;4;5;13;7;22;40;2
115;22;157;509;0;683;16;22;38;4;3;9;9;23;53;2
